combined_FIPS,NAMELSAD,year,pct_developed_2004,pct_suburban_2004,pct_forest_2004,pct_undeveloped_2004,pct_agri_2004
31039,Cuming County,2004,0.04250315223946056,0.04102845238747876,0.022746072644652768,0.11054096693041926,0.8464436038472549
53069,Wahkiakum County,2004,0.06573040492292183,0.06412242197672953,0.6197140021842316,0.9012895366908892,0.0306396228000168
35011,De Baca County,2004,0.004177625843639306,0.004042464730698561,0.0008091784380024768,0.9890167811388404,0.006714988875659227
31109,Lancaster County,2004,0.12298529911515173,0.08988532702532838,0.0530522128277834,0.3166952354292032,0.5598415400760605
31129,Nuckolls County,2004,0.03766739294825653,0.03661526501192513,0.030696059947642233,0.3800243657063296,0.5821736174826672
46099,Minnehaha County,2004,0.10036504023418755,0.08079565853110862,0.014051079623507013,0.0657163454014944,0.8315847150401692
48327,Menard County,2004,0.008531599831048271,0.008242562886731431,0.009966764605229488,0.9858845917873428,0.0055764861123529
6091,Sierra County,2004,0.014816320238730609,0.01437022731470238,0.642483970466976,0.9834840184574128,0.0014469843827484559
21053,Clinton County,2004,0.06261937124567019,0.05730345946419959,0.5569903976849213,0.5652212040163108,0.36821502170386283
39063,Hancock County,2004,0.0999098871787478,0.0855862084784696,0.06731198369449459,0.07371884144403339,0.8252479740999368
48189,Hale County,2004,0.04790044542587281,0.0447005670457714,0.00012295099194478345,0.28108523341072356,0.6708472339179402
1027,Clay County,2004,0.04182855091688708,0.041154936026719095,0.7410856762207616,0.8553649312981841,0.10200289694670102
48011,Armstrong County,2004,0.015694293624077815,0.015528503414470523,0.07354315219118111,0.8152900886304459,0.16550440421114826
39003,Allen County,2004,0.16911882544524,0.14312301289838963,0.08582383401831796,0.09593661953627834,0.7344025986334772
13189,McDuffie County,2004,0.06935797311656357,0.06357645861025482,0.6508722100792013,0.7747148634617171,0.15179808737318848
55111,Sauk County,2004,0.06566956729673483,0.05916463348565066,0.41303984121468607,0.4392048778077929,0.4945148740839269
5137,Stone County,2004,0.03884348255233097,0.038031269900499654,0.7782344205060481,0.8091334659698948,0.14908257800995864
41063,Wallowa County,2004,0.005579840323001962,0.005429057729282676,0.4788301348962546,0.9444769629290382,0.028792290012853
42007,Beaver County,2004,0.21124310079180483,0.17088128364650787,0.6143695424994423,0.6223211722837129,0.16472066952003178
28061,Jasper County,2004,0.038519126052781225,0.037174726949598204,0.7163772395246105,0.8624369312579764,0.09841435279036412
29083,Henry County,2004,0.04526332175165992,0.041960948273625516,0.26050433165229436,0.3033109549591981,0.6496211176281584
8109,Saguache County,2004,0.0056848644103910636,0.005325722223970718,0.3930990527309556,0.9401848962671254,0.04555502052812873
37037,Chatham County,2004,0.07096234677035221,0.06745448484053293,0.6766528329648147,0.7481813591675887,0.17953044375908428
49033,Rich County,2004,0.009180007459198655,0.008980376102777776,0.14133259325853004,0.9030101845713288,0.08775315582778558
40001,Adair County,2004,0.041105933279791756,0.039372972203231923,0.6053464745525647,0.6314072645583514,0.326902108818129
39085,Lake County,2004,0.46453323635922844,0.40163643801991,0.35631165052956953,0.3942967104565359,0.13759564828704335
51775,Salem city,2004,0.8469598688431107,0.538859980516549,0.11842136526718464,0.11960938056882173,0.033264428445838386
51121,Montgomery County,2004,0.1269179127086422,0.1043520193319506,0.6366511124297056,0.646944515652534,0.22520001505827011
47065,Hamilton County,2004,0.281663500316635,0.23739933698937798,0.527081907193896,0.5677964254856566,0.14902035437481892
35035,Otero County,2004,0.006760049142636356,0.006372569481516659,0.17209036808103123,0.960462234026598,0.0006059974237243482
35003,Catron County,2004,0.0029393768322522637,0.002863249519903957,0.48949164758510677,0.9950466094234078,1.399177875176383e-05
1091,Marengo County,2004,0.03355057145300069,0.031772550722781526,0.651946896924525,0.7851503429218855,0.17949244484289917
56023,Lincoln County,2004,0.006814893477166078,0.00655529066690811,0.23810710078053912,0.9529736116514175,0.030324421667601492
29011,Barton County,2004,0.04243682293524585,0.04080283217242739,0.1470321799372923,0.1511485458948989,0.8056577736890524
48057,Calhoun County,2004,0.058012074491015184,0.04810257510348442,0.031638664332019124,0.44461645352646323,0.4796921872427407
51735,Poquoson city,2004,0.2897514947683109,0.2724915919282511,0.20802970852017938,0.7013499626307922,0.004647795216741405
54075,Pocahontas County,2004,0.03525455293803966,0.03450052197876362,0.8915852141887991,0.9119895360176441,0.048384454462853714
48077,Clay County,2004,0.025333706658133528,0.023673744600123427,0.054653671408145595,0.8649202303947339,0.1056709179980648
51095,James City County,2004,0.17619916592697646,0.1589722355834792,0.6478148972781054,0.7343809660767328,0.08784792299948924
31101,Keith County,2004,0.02426334771123127,0.02329787014487968,0.019223774095017954,0.651450989598382,0.31528227803690095
31137,Phelps County,2004,0.04595101318994724,0.04392585870742258,0.011542090643076841,0.13365181144908833,0.8199644114572148
22019,Calcasieu Parish,2004,0.14079759561223137,0.11699277548146025,0.3431438791139066,0.5034608561514323,0.354409134389193
22111,Union Parish,2004,0.049192328996218504,0.04766603094010062,0.7927413936388015,0.9030240497854274,0.04626405391890388
40135,Sequoyah County,2004,0.04752835760357468,0.043509368290853764,0.5112666044533161,0.5356965827781572,0.4150862399544569
1049,DeKalb County,2004,0.08548351804056684,0.0789056208512615,0.44688583424954575,0.4933889218705441,0.4202899655456292
36101,Steuben County,2004,0.06535660344940131,0.06139905307904372,0.6077785972654788,0.6183014696007161,0.31500265228903424
42053,Forest County,2004,0.03754864589534099,0.037210699939006865,0.8977432539065331,0.9305891578793932,0.03135894176498994
