"GEO_ID","NAME","P009001","P009002","P009003","P009004","P009005","P009006","P009007"
"id","Label for GEO_ID","Total races tallied","Total races tallied!!White alone or in combination with one or more other races","Total races tallied!!Black or African American alone or in combination with one or more other races","Total races tallied!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied!!Asian alone or in combination with one or more other races","Total races tallied!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied!!Some other race alone or in combination with one or more other races"
"0500000US02130","Ketchikan Gateway Borough, Alaska","14874","11137","119","2689","746","62","121"
"0500000US02150","Kodiak Island Borough, Alaska","14669","8906","157","2452","2434","202","518"
"0500000US02164","Lake and Peninsula Borough, Alaska","1951","462","3","1453","7","8","18"
"0500000US02170","Matanuska-Susitna Borough, Alaska","62239","54521","660","5108","846","215","889"
"0500000US02180","Nome Census Area, Alaska","9602","2129","59","7274","90","8","42"
"0500000US02185","North Slope Borough, Alaska","7899","1655","90","5453","531","98","72"
"0500000US02188","Northwest Arctic Borough, Alaska","7483","1125","36","6181","87","12","42"
"0500000US02201","Prince of Wales-Outer Ketchikan Census Area, Alaska","6604","3660","22","2783","71","18","50"
"0500000US02220","Sitka City and Borough, Alaska","9549","6627","73","2178","462","58","151"
"0500000US02232","Skagway-Hoonah-Angoon Census Area, Alaska","3624","2156","14","1356","40","10","48"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6473","5167","142","980","67","25","92"
"0500000US02261","Valdez-Cordova Census Area, Alaska","10803","8264","55","1767","474","66","177"
"0500000US02270","Wade Hampton Census Area, Alaska","7208","492","11","6673","16","6","10"
"0500000US02280","Wrangell-Petersburg Census Area, Alaska","7257","5345","38","1512","219","29","114"
"0500000US02282","Yakutat City and Borough, Alaska","888","458","2","378","32","15","3"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","6814","1828","19","4877","43","6","41"
"0500000US04001","Apache County, Arizona","70457","14298","262","53998","152","84","1663"
"0500000US04003","Cochise County, Arizona","122486","94024","6287","2456","2974","535","16210"
"0500000US04005","Coconino County, Arizona","119212","75694","1591","34579","1291","205","5852"
"0500000US04007","Gila County, Arizona","52292","40763","257","7060","304","54","3854"
"0500000US04009","Graham County, Arizona","34244","23070","703","5223","256","49","4943"
"0500000US04011","Greenlee County, Arizona","8845","6616","54","228","24","5","1918"
"0500000US04012","La Paz County, Arizona","20272","15026","214","2796","107","37","2092"
"0500000US04013","Maricopa County, Arizona","3166930","2452006","132198","75867","83675","8751","414433"
"0500000US04015","Mohave County, Arizona","158536","142669","1103","5085","1684","368","7627"
"0500000US04017","Navajo County, Arizona","99429","46358","1074","47593","481","98","3825"
"0500000US04019","Pima County, Arizona","872548","656275","30893","33910","22373","2097","127000"
"0500000US04021","Pinal County, Arizona","184749","130567","5568","15653","1556","341","31064"
"0500000US04023","Santa Cruz County, Arizona","39399","30103","179","371","256","44","8446"
"0500000US04025","Yavapai County, Arizona","170989","156932","1011","4168","1351","341","7186"
"0500000US04027","Yuma County, Arizona","165396","113753","4205","3565","2188","406","41279"
"0500000US05001","Arkansas County, Arkansas","20895","15716","4889","123","98","13","56"
"0500000US05003","Ashley County, Arkansas","24447","17088","6618","135","75","14","517"
"0500000US05005","Baxter County, Arkansas","38781","37911","58","474","192","27","119"
"0500000US05007","Benton County, Arkansas","156264","142028","817","4196","2012","209","7002"
"0500000US05009","Boone County, Arkansas","34263","33430","54","449","149","18","163"
"0500000US05011","Bradley County, Arkansas","12703","8062","3643","65","19","3","911"
"0500000US05013","Calhoun County, Arkansas","5812","4322","1367","48","10","3","62"
"0500000US05015","Carroll County, Arkansas","25769","24129","45","480","125","29","961"
"0500000US05017","Chicot County, Arkansas","14276","6189","7672","72","92","20","231"
"0500000US05019","Clark County, Arkansas","23868","17723","5311","244","188","31","371"
"0500000US05021","Clay County, Arkansas","17761","17413","37","231","31","4","45"
"0500000US05023","Cleburne County, Arkansas","24271","23825","39","276","56","14","61"
"0500000US05025","Cleveland County, Arkansas","8648","7334","1150","59","31","10","64"
"0500000US05027","Columbia County, Arkansas","25819","16035","9317","170","121","14","162"
"0500000US05029","Conway County, Arkansas","20595","17361","2736","219","72","11","196"
"0500000US05031","Craighead County, Arkansas","83056","74132","6591","675","645","52","961"
"0500000US05033","Crawford County, Arkansas","54487","50229","572","1886","777","30","993"
"0500000US05035","Crittenden County, Arkansas","51240","26152","24084","255","290","36","423"
"0500000US05037","Cross County, Arkansas","19678","14731","4672","112","89","4","70"
"0500000US05039","Dallas County, Arkansas","9264","5290","3804","33","31","5","101"
"0500000US05041","Desha County, Arkansas","15475","7845","7153","104","70","8","295"
"0500000US05043","Drew County, Arkansas","18894","13294","5144","132","93","15","216"
"0500000US05045","Faulkner County, Arkansas","87143","76948","7545","972","796","65","817"
"0500000US05047","Franklin County, Arkansas","18018","17318","122","295","65","16","202"
"0500000US05049","Fulton County, Arkansas","11785","11506","30","187","34","0","28"
"0500000US05051","Garland County, Arkansas","89454","79467","7226","1271","585","55","850"
"0500000US05053","Grant County, Arkansas","16586","15846","427","148","36","12","117"
"0500000US05055","Greene County, Arkansas","37852","36863","85","571","96","20","217"
