"","combined_FIPS","NAMELSAD","total_dev","avg_dem_change","avg_rep_change"
"1",1001,"Autauga County",0.00710185909142386,-0.0123738228174387,0.00768064923878831
"2",1003,"Baldwin County",0.0134035174023358,-0.0134915569694737,0.0104506831043922
"3",1005,"Barbour County",0.000606764374619699,-0.00845191449356125,0.00768274331174321
"4",1007,"Bibb County",0.00160661897620632,-0.0422851603559348,0.0405714925681753
"5",1009,"Blount County",0.00392225187995184,-0.048164281751688,0.0471422633185531
"6",1011,"Bullock County",0.000313220129457708,0.0142943019780205,-0.0125430559740651
"7",1013,"Butler County",0.000983839510127642,-0.00885589565872247,0.00809243866469248
"8",1015,"Calhoun County",0.00823380640350838,-0.0322321323607495,0.0283366434675849
"9",1017,"Chambers County",0.00187166532501504,-0.0146124263340722,0.0135260826322886
"10",1019,"Cherokee County",0.00190546951954754,-0.0757200751333969,0.0757895005064
"11",1021,"Chilton County",0.0045036855433051,-0.0399933360254431,0.0385067237887984
"12",1023,"Choctaw County",0.000275866,-0.0190886449863652,0.0187202601064867
"13",1025,"Clarke County",0.000558155341135218,0.00150096911474379,-0.00224886551437781
"14",1027,"Clay County",0.000509001019996971,-0.0402166484059942,0.039914292625275
"15",1029,"Cleburne County",0.000770530769582396,-0.0557601798379557,0.0549261032166635
"16",1031,"Coffee County",0.00492712071625467,-0.0337397918876775,0.0301327216449374
"17",1033,"Colbert County",0.00537097121025405,-0.0490413742410616,0.0459107417010517
"18",1035,"Conecuh County",0.000822179544687329,-0.0084053548055191,0.00828587186367538
"19",1037,"Coosa County",0.00052294677117485,-0.0303492462483351,0.030546747828848
"20",1039,"Covington County",0.000795321045705018,-0.044102439951257,0.0435102063115733
"21",1041,"Crenshaw County",0.00044389454801181,-0.0344547543923489,0.0344098795800969
"22",1043,"Cullman County",0.00517709859666161,-0.0575542633651086,0.0555506822983619
"23",1045,"Dale County",0.00257585368049405,-0.0187539767189034,0.0165693522128511
"24",1047,"Dallas County",0.00100093678005509,0.02227249551415,-0.0226392245898362
"25",1049,"DeKalb County",0.00298381796377011,-0.0518992426153137,0.0491191887667645
"26",1051,"Elmore County",0.0113888546370472,-0.0132129863468099,0.0092139336068319
"27",1053,"Escambia County",0.00151080522879023,-0.0194254798151511,0.0177624836287146
"28",1055,"Etowah County",0.0131084308119746,-0.0516524359053293,0.0491636616344652
"29",1057,"Fayette County",0.000204530575276418,-0.0568267775627051,0.0567100920951173
"30",1059,"Franklin County",0.00240385789302339,-0.0623025117721319,0.0587750781492417
"31",1061,"Geneva County",0.00051126486845654,-0.0399939309427715,0.0401952637953942
"32",1063,"Greene County",0.000301607994333909,0.00631195087933889,-0.00540907158519668
"33",1065,"Hale County",0.000401707902837403,-0.00195695223919209,0.0021683033223483
"34",1067,"Henry County",0.000998523278968176,-0.029345669699765,0.028224127686368
"35",1069,"Houston County",0.00768135589583209,-0.0108755868480045,0.00742451656945936
"36",1071,"Jackson County",0.00228010045815111,-0.0828181523867663,0.0803012663794862
"37",1073,"Jefferson County",0.0257828478187256,0.0103119397254409,-0.0157104347858915
"38",1075,"Lamar County",0.000166640105005271,-0.0543147872287631,0.0548201337937372
"39",1077,"Lauderdale County",0.00335544947753451,-0.0449888334842232,0.0404994873210138
"40",1079,"Lawrence County",0.00116453109769692,-0.0680281387547214,0.0662799326354084
"41",1081,"Lee County",0.0244604547663495,-0.00555270210114704,-0.000358386388903009
"42",1083,"Limestone County",0.0149518741876021,-0.0363739668215631,0.0300935869308455
"43",1085,"Lowndes County",0.000407056890191722,0.000153259622051372,-0.000101244453033361
"44",1087,"Macon County",0.000668543248761456,-0.0100437971270393,0.00825562092657976
"45",1089,"Madison County",0.0357671357267515,-0.0102123480876515,-0.000142619871195793
"46",1091,"Marengo County",0.000603699508154198,0.00172054240622049,-0.00303699641178892
"47",1093,"Marion County",0.000953877125515243,-0.0702499917714833,0.0701286211500762
"48",1095,"Marshall County",0.00836776909105276,-0.0579167577022607,0.0543431187072057
"49",1097,"Mobile County",0.0135518041310828,-0.000431510025793461,-0.0021695474948718
"50",1099,"Monroe County",0.00094012048618964,0.000956975689569026,-0.00286998891323209
"51",1101,"Montgomery County",0.0154636676712723,0.0279780780457023,-0.0321767813776445
"52",1103,"Morgan County",0.00773059590666374,-0.038515502298947,0.034077784630989
"53",1105,"Perry County",0.000418485563639388,0.00746410415526091,-0.00817831653220724
"54",1107,"Pickens County",0.000367973842384954,-0.0172159679111258,0.0168931071162277
"55",1109,"Pike County",0.00187521454305097,-0.00731491780321818,0.00241863869185793
"56",1111,"Randolph County",0.00131274528650802,-0.0414528559652146,0.0417850825254073
"57",1113,"Russell County",0.00754386496015137,-0.0177004631513978,0.0147000236197723
"58",1115,"St. Clair County",0.0135820865269842,-0.0309129906729971,0.0284252493903072
"59",1117,"Shelby County",0.0331423887593607,0.00368335195563421,-0.0114560940731123
"60",1119,"Sumter County",0.000417741010521794,0.00377325431958173,-0.00524204123333519
"61",1121,"Talladega County",0.0055098690081256,-0.0199369451074714,0.0186407217096306
"62",1123,"Tallapoosa County",0.00207948786402391,-0.02429827275305,0.0235889562898592
"63",1125,"Tuscaloosa County",0.0076104567842853,-0.00634812256551327,0.00285493042863863
"64",1127,"Walker County",0.00362327609354575,-0.0751584870833649,0.0743508093365585
"65",1129,"Washington County",0.00104468402252185,-0.0418867335173724,0.04151968672626
"66",1131,"Wilcox County",0.000291009574370425,0.00933744882316392,-0.0100295055608792
"67",1133,"Winston County",0.00137958172056915,-0.0510874304790223,0.0516387901149484
