FIPS,pct_sub_2016,pct_urban_2016,pct_forest_2016,pct_agri_2016,unique
39021,0.06095735939157262,0.0012931180611946732,0.11687462566572979,0.8041902836949275,15
39023,0.0,0.0,0.0,0.0,1
39027,0.0720712158385263,0.004403889485587691,0.14974233545761845,0.7648183395587195,15
39029,0.11430872667611847,0.0042306326574515895,0.46128345821982963,0.3899406972735779,15
39031,0.06385909588153689,0.001751523262991279,0.5843695188505705,0.3194806544072261,15
39033,0.08439590786850361,0.003057735416358196,0.09837695541835537,0.8005283890761714,15
39035,0.7106296672725585,0.05798453051680388,0.1882263817239472,0.015195586873801703,15
39037,0.07064440492245254,0.0021685092928683605,0.059931287203541725,0.858090047738406,15
39039,0.07762206560783136,0.003341751891664288,0.08427794468864867,0.7769556405875523,15
39041,0.18187467861826392,0.00899184260890467,0.18694376237985266,0.5764196325066406,15
39043,0.13986470844196536,0.01419821994998988,0.16608305364755108,0.5068512411018711,15
39045,0.12225631165926926,0.004372311195652915,0.25354836950222603,0.6008774621095907,15
39047,0.05897323424823797,0.0025926793433128205,0.0493460809573494,0.8824759917381768,15
39049,0.5518271547250171,0.07540851331665958,0.09582811480631764,0.2478286459151222,15
39053,0.065029904090656,0.0012180832401014186,0.6582415909226319,0.2385390945139914,15
39055,0.158760682672209,0.002420528390055712,0.49989047767017986,0.24837626778464345,15
39057,0.20046557898262493,0.007301124954800179,0.1409926130578741,0.635589463984283,15
39059,0.07911375786411234,0.001776317862431862,0.6300401214145425,0.24992319689951792,15
39061,0.5121591443347437,0.046550305594734366,0.3243342400429848,0.08439200080596414,15
39063,0.10054212680917514,0.005815234810015076,0.0617474569318314,0.813434005048755,15
39065,0.059088003927700236,0.0017832407802618319,0.07081065580356781,0.853624608280459,15
39069,0.07274333287929632,0.0024633571496382152,0.03973814447457599,0.8618026920266973,15
39071,0.05566290167758364,0.0014734187791886125,0.31992211396427983,0.6025692195978375,15
39073,0.05891707103882382,0.0008020604769968237,0.8022806344134688,0.11970016033025249,15
39075,0.06569057741861357,0.0018244429561046058,0.39895440037486535,0.5143833325564526,15
39077,0.07597508429598128,0.0039973967830072765,0.1672517826987057,0.7238977003046437,15
39079,0.06554148275819516,0.0012628495974924003,0.6475785784509319,0.22844085380150636,15
39085,0.45751891598139155,0.017228920699189614,0.3362894219801614,0.13100698114672352,15
39089,0.11150073413445472,0.005017215490766237,0.3600782068671436,0.5052120270024381,15
39091,0.08307162635747724,0.0029970928051198725,0.15204339469423933,0.724776388198557,15
39093,0.2563255963252599,0.010916568429699009,0.22786163936356463,0.42886709063919676,15
39095,0.3978915951017733,0.04845422791341742,0.12029416206154268,0.3337294447301228,15
39097,0.05698590805461233,0.0027715275014225838,0.04751317516931534,0.8845925832257873,15
39099,0.2677038411372511,0.014351555802644819,0.31658002621729897,0.3245508383886105,15
39101,0.09408456889556775,0.0060907514242631655,0.0753414200259721,0.8040134972629788,15
39103,0.2035540096529669,0.005274791561316993,0.3140590897952125,0.44291611720921237,15
39105,0.06232067642395238,0.00041984050868004225,0.7038441846881602,0.1989931840015127,15
39107,0.07440251779714732,0.0027706027398264068,0.04618062043621788,0.8267585560037665,15
39109,0.12391147219546006,0.005815367381576394,0.09047925304347162,0.7610208541463832,15
39111,0.06059992845362825,0.0011080592743500195,0.7700860375436555,0.15157295910942956,15
39113,0.4172705661282047,0.028389685250314243,0.1291315424101358,0.4063492158331572,15
39115,0.054082213707653,0.0003262122647594616,0.7145552297084878,0.20375694639025999,15
39117,0.060736482392904065,0.0006671159488362911,0.25206942090251255,0.6742040557926767,15
39119,0.08791247897666583,0.0030764596937362457,0.5764785186782105,0.2881180576579606,15
39121,0.05991764727036406,0.0006233394382923924,0.6968455428233338,0.18887270603808706,15
39123,0.12182680494775439,0.007269571263200338,0.03136155475176684,0.546007707069859,15
39125,0.06754942327782165,0.0012433424887047882,0.03986146085292301,0.8541274500552137,15
39127,0.060981512198319106,0.0009125421609603372,0.6011291658894093,0.3078115625645964,15
39129,0.06750099917328677,0.002109213746434457,0.08717513180875001,0.8254601672041215,15
39133,0.16094839361454,0.005154551032175589,0.38334032143440977,0.33466483448460305,15
39135,0.06887408600313952,0.0012582452886969395,0.15861129411381955,0.7601224898128492,15
39141,0.062430186050422186,0.0021804973355593724,0.4692148007574939,0.4355779894383255,15
39145,0.06827479637647477,0.0024101687399482514,0.700843643468347,0.18666174466279584,15
39147,0.07498360993401272,0.0029973097684793284,0.0859869331611853,0.8200778936316117,15
39149,0.0795665436189525,0.003814591614309527,0.09716664079740317,0.8007386237101922,15
39153,0.5255449813353229,0.03279833152725175,0.2961382316796889,0.08467565223204448,15
39157,0.10239406009456802,0.004681062060334903,0.5320394512846065,0.31174246815111706,15
39159,0.08388998955054655,0.003978250537746171,0.09516222835983253,0.804939568517709,15
39161,0.07290632988790463,0.0022169091472627293,0.031123715353932713,0.8845627959573712,14
39163,0.04489516083911412,0.0003824631461685627,0.7934156213648256,0.11283247362632683,15
39165,0.23061269340456778,0.009065865733531863,0.2991880500594567,0.43335485585588657,15
39167,0.0830316853595429,0.0018301993178594196,0.6662098841595951,0.21904111421711178,15
39169,0.11276670962576947,0.0055965298522119575,0.17790493007143432,0.6707586926715761,15
39171,0.07749766649812459,0.004269550402411271,0.054623201933344204,0.7683723834662685,15
39173,0.12640867525420849,0.010034200005477367,0.04263459091058982,0.7964856546095672,15
40001,0.041444092975387946,0.0005981386166706943,0.5943159398230472,0.32423260919486335,14
40003,0.04494620862315332,0.0006251057916760157,0.009928868629372886,0.5513712569428862,15
40007,0.03718965248183465,2.6741129251147146e-05,0.0003619602852208846,0.21324293303581918,15
40009,0.04619726005950787,0.0013564631728882344,0.029830678093445924,0.19677311417083837,15
40011,0.042007386718321216,0.000632376415870837,0.09398384945375761,0.42324240196594776,15
40013,0.04270323853321949,0.0013669241120047105,0.2700963389295503,0.299879406345483,15
40015,0.040430859351462095,0.0008745340839638802,0.108514857664265,0.32228558178171457,15
40017,0.0833924916245659,0.004638495565044733,0.07876779540175252,0.39758856494507094,15
40019,0.06258901066338383,0.0027297297072334716,0.2666124799296821,0.13911175369422865,15
40021,0.04761989867384174,0.0009324794615478444,0.5833014240976463,0.3035821598404732,15
40023,0.03141504378351238,0.00023740528157436094,0.33127697614986684,0.450251679923961,15
