"","combined_FIPS","NAMELSAD","election_year","pct_developed","pct_suburban","pct_forest","pct_undeveloped","pct_agri","total_dev","avg_dev_year"
"1",31039,"Cuming County",2000,0.0425112573162656,0.0410362762485401,0.0228034144501842,0.111631270573427,0.845407240384141,0.000505601762191693,3.16001101369808e-05
"2",53069,"Wahkiakum County",2000,0.0657243658566677,0.0641165306459954,0.644269412805456,0.900755223167527,0.0311500024937852,5.25695581887198e-05,3.28559738679499e-06
"3",35011,"De Baca County",2000,0.00417838113292645,0.00404319558368038,0.000820056110200517,0.989561499513287,0.00616934978433657,1.99679999999995e-05,1.24799999999997e-06
"4",31109,"Lancaster County",2000,0.123012212854388,0.089904997264537,0.0530908652175993,0.319291983117097,0.557217358021147,0.0144848992673983,0.000905306204212391
"5",31129,"Nuckolls County",2000,0.0376840521503843,0.0366314588881946,0.0307035691101795,0.381158883947801,0.581025413908791,0.000258944097533957,1.61840060958723e-05
"6",46099,"Minnehaha County",2000,0.100377963488675,0.0808060619828906,0.0137723860343401,0.0685788260674282,0.828656118256876,0.0114409549100556,0.000715059681878473
"7",48327,"Menard County",2000,0.00853207660754953,0.00824302351080808,0.0100474856427327,0.986386755355865,0.00507384535813486,0.000171562498472841,1.07226561545526e-05
"8",6091,"Sierra County",2000,0.0148301013976751,0.0143835935475795,0.644447290967368,0.983428991059654,0.0014847204795356,1.48966231249582e-05,9.3103894530989e-07
"9",21053,"Clinton County",2000,0.0626711415050623,0.0573508348194852,0.558539171218738,0.561468762725907,0.37221609818432,0.00330168070951851,0.000206355044344907
"10",39063,"Hancock County",2000,0.0998910986585871,0.0855701135928793,0.0672541136138471,0.0737646053604097,0.825179929653141,0.00653549773380499,0.000408468608362812
"11",48189,"Hale County",2000,0.0476018247609831,0.0444218950431736,0.000133323818491631,0.283078492222487,0.669173827455308,0.0015115885906113,9.44742869132061e-05
"12",1027,"Clay County",2000,0.0418213576843596,0.0411478586353678,0.755791890519307,0.849783255237735,0.107576375424819,0.000509001019996971,3.18125637498107e-05
"13",48011,"Armstrong County",2000,0.015523442490782,0.0153594571056465,0.0727642342928825,0.816563513137664,0.164440054590773,0.000343444540692158,2.14652837932599e-05
"14",39003,"Allen County",2000,0.169100030239356,0.143107106765604,0.0856092541044972,0.095828605741687,0.734539806106282,0.00650375611210346,0.000406484757006467
"15",13189,"McDuffie County",2000,0.0692903194558057,0.0635144443966074,0.647309704223533,0.767454094372928,0.158950251862057,0.0049556451599241,0.000309727822495256
"16",55111,"Sauk County",2000,0.0656388568222766,0.0591369650535247,0.412249150799572,0.438486601596571,0.495252112730994,0.00373003876679551,0.000233127422924719
"17",5137,"Stone County",2000,0.0388352018264872,0.0380231623236593,0.785399793351133,0.806886461748469,0.151352243481191,0.000514495840575287,3.21559900359554e-05
"18",41063,"Wallowa County",2000,0.00557989583737515,0.0054291117435052,0.482340297369669,0.944664890642288,0.0286057545356552,1.573580408421e-05,9.83487755263127e-07
"19",42007,"Beaver County",2000,0.21125087055358,0.170887568854691,0.614855901893509,0.621356568351749,0.165727814776583,0.00631680458469561,0.000394800286543475
"20",28061,"Jasper County",2000,0.038512363150206,0.0371682000866502,0.723794371452724,0.851475403571663,0.109355901640106,0.00158352168060936,9.89701050380849e-05
"21",29083,"Henry County",2000,0.0453161370243459,0.042009910188913,0.261489125765492,0.300833674662085,0.652021498716271,0.0012982489910652,8.11405619415752e-05
"22",8109,"Saguache County",2000,0.00568535632510148,0.00532618306189339,0.393751174853002,0.940464207589205,0.0452803975187105,4.11569846615108e-05,2.57231154134443e-06
"23",37037,"Chatham County",2000,0.0708980270540469,0.0673933446228552,0.680588823373391,0.74601687307449,0.181708934364352,0.00670107703892137,0.000418817314932585
"24",49033,"Rich County",2000,0.00920099110995595,0.0090009034364044,0.14179388738917,0.902731365736946,0.0880155933190996,9.87209999999995e-05,6.17006249999997e-06
"25",40001,"Adair County",2000,0.0411035523040953,0.0393706916057018,0.609293008522513,0.627339618372426,0.330970963119391,0.000892164487613901,5.57602804758688e-05
"26",39085,"Lake County",2000,0.464548722020523,0.401649826956063,0.358326716650403,0.392685484310885,0.139185208531581,0.0175522493180088,0.00109701558237555
"27",51775,"Salem city",2000,0.846959868843111,0.538859980516549,0.118563927103381,0.118967852305938,0.0339059567087224,0.012688003421484,0.000793000213842751
"28",51121,"Montgomery County",2000,0.12691165622947,0.104346875249278,0.639269136280486,0.645252711027219,0.226893640972967,0.00702842325582995,0.000439276453489372
"29",47065,"Hamilton County",2000,0.281579756763338,0.237328753956761,0.543046994143353,0.562452102369571,0.154447591341903,0.0292056726001464,0.00182535453750915
"30",35035,"Otero County",2000,0.00676012039737195,0.0063726366519978,0.174661982180992,0.960495012189036,0.000588278881527566,0.000349094046915981,2.18183779322488e-05
"31",35003,"Catron County",2000,0.00293951009602757,0.00286337933226299,0.492909582882153,0.995046735913564,1.39924131029771e-05,1.44800000000025e-06,9.05000000000155e-08
"32",1091,"Marengo County",2000,0.0335370258320424,0.031759722955315,0.679699625085647,0.780214506510579,0.184464012656399,0.000603699508154198,3.77312192596374e-05
"33",56023,"Lincoln County",2000,0.00681350805781394,0.00655395802296008,0.239549765501445,0.954018473825338,0.0297828763803672,0.000363787912638026,2.27367445398766e-05
"34",29011,"Barton County",2000,0.0424271397608524,0.0407935218397412,0.147118878698737,0.149305639061359,0.807534586067028,0.000576036743583537,3.60022964739711e-05
"35",48057,"Calhoun County",2000,0.057831635467618,0.0479529582909378,0.0394609055011394,0.443813108095407,0.480640380736001,0.00390314285319279,0.000243946428324549
