combined_FIPS,NAMELSAD,election_year,pct_developed_2016,pct_suburban_2016,pct_forest_2016,pct_undeveloped_2016,pct_agri_2016
31039,Cuming County,2016,0.043008753762191695,0.04134967141392581,0.02253109408008699,0.10032084531525612,0.8558213554739356
53069,Wahkiakum County,2016,0.06577693541485645,0.06414806570080774,0.6425805706425438,0.9016561706729949,0.030319814983501295
35011,De Baca County,2016,0.004197469138362103,0.0040538295100531335,0.000747582364573784,0.9883665325334062,0.007344564172309084
31109,Lancaster County,2016,0.13747019826739826,0.09642021129980106,0.05243106358563455,0.28088367185658863,0.5812247627311586
31129,Nuckolls County,2016,0.03792633709753396,0.03676658257991727,0.030613760520695223,0.35182878070575885,0.6100872574321592
46099,Minnehaha County,2016,0.11180599491005556,0.08429760369018806,0.014020514805831654,0.06216842718811532,0.8239365961115666
48327,Menard County,2016,0.008703162498472842,0.008341269416103433,0.009903691733383076,0.9835830035892548,0.007706896664686982
6091,Sierra County,2016,0.014820690321732046,0.01437086280406051,0.6529082911423221,0.9825377539000191,0.0023926609078086135
21053,Clinton County,2016,0.06592105170951851,0.05914990084161989,0.5550293971310643,0.5672314840120252,0.36236781802510143
39063,Hancock County,2016,0.10642659639239208,0.08833940324977013,0.06683898806617508,0.0732577854297101,0.8192801168674644
48189,Hale County,2016,0.049113413351594415,0.045315906885295486,0.0001291859395283768,0.2625621948025941,0.6875380730919342
1027,Clay County,2016,0.04233035870435655,0.04135811986266695,0.7729172227796136,0.8589172135749855,0.09773646689555508
48011,Armstrong County,2016,0.015866887031474163,0.015691873187529855,0.0740351246187822,0.7910160077518327,0.18963157451534554
39003,Allen County,2016,0.1756037863514596,0.14464204341462067,0.0850358336325223,0.09477357148775166,0.7291307064541964
13189,McDuffie County,2016,0.07424596461572984,0.06647550686683804,0.6799399109682638,0.777297041636378,0.14357811910043816
55111,Sauk County,2016,0.06936889558907215,0.06140864619725629,0.41229758498701446,0.43926563814610614,0.4906876538100905
5137,Stone County,2016,0.03934969766706244,0.038313651512581544,0.770985664972013,0.810240238932414,0.14747784649096668
41063,Wallowa County,2016,0.00559557580408421,0.00543517792005398,0.468184399863192,0.9418396830334412,0.031426378255574074
42007,Beaver County,2016,0.2175599055846956,0.1712382948730127,0.6072090251707626,0.6189774123277907,0.16119090362662372
28061,Jasper County,2016,0.04009588483081532,0.03828888015790123,0.7162476050734495,0.8694108700107955,0.08979006219710084
29083,Henry County,2016,0.04604590725848836,0.0424019973431492,0.2604104203810689,0.301801833367203,0.6495114257598403
8109,Saguache County,2016,0.005726020984661511,0.005348388332280758,0.39113672144661715,0.9385420681458577,0.04717117716312875
37037,Chatham County,2016,0.07759910409296825,0.07212440063727572,0.6772771950054511,0.7464769151111731,0.174646158123911
49033,Rich County,2016,0.009256202026347714,0.00902652545211041,0.14132124400387314,0.9068653059875436,0.08374561009146929
40001,Adair County,2016,0.041995716791709235,0.03991385308317981,0.5982986647710644,0.6321539927430455,0.32524685170914974
39085,Lake County,2016,0.48208548531800877,0.40850579520380204,0.3470848185058558,0.3816544821900536,0.1328486821367086
51775,Salem city,2016,0.8596478722645947,0.5362701071589802,0.11155463682372228,0.11312281702188325,0.02711050918335828
51121,Montgomery County,2016,0.1339400794852995,0.10767802179481893,0.619609779882726,0.6445022667830682,0.22064878934602994
47065,Hamilton County,2016,0.310785429363484,0.25133150484221417,0.5233971512168132,0.5534148448461461,0.13467970560567222
35035,Otero County,2016,0.007109143046915981,0.006526691183098859,0.17091729272681916,0.9599336360418927,0.0008635306420704557
35003,Catron County,2016,0.0029405292441112185,0.0028632485147656846,0.4677888303318387,0.9950399412485917,1.875599790735219e-05
1091,Marengo County,2016,0.034140725340196576,0.03197581364806397,0.6731530563595935,0.7962389979531159,0.16785308214682843
56023,Lincoln County,2016,0.007177295970451965,0.006877900975105289,0.2354977778531759,0.9510914575839046,0.03185717903931545
29011,Barton County,2016,0.04300317650443595,0.041044429961306535,0.1464544691244943,0.1513208034618614,0.8048305179287547
48057,Calhoun County,2016,0.06173477832081075,0.04924707179388274,0.04481321444057346,0.4482771355763194,0.47209193534488064
51735,Poquoson city,2016,0.30172776091524633,0.2757413028251226,0.20747139855241653,0.6901237450385244,0.004272706047163203
54075,Pocahontas County,2016,0.03549240895947291,0.03437186464860211,0.9000004807615856,0.9124277979307281,0.04741973407967255
48077,Clay County,2016,0.026026251806913345,0.024093241354491913,0.05415619579459363,0.8477126574698459,0.12253416745121773
51095,James City County,2016,0.21495971018000154,0.1827229151901141,0.6273654680558403,0.7040828170029708,0.079735072516737
31101,Keith County,2016,0.02500850969449951,0.023787831284290628,0.01805726049755586,0.6465385773363329,0.32574586366601244
31137,Phelps County,2016,0.046415263021758885,0.04410153072710021,0.01127775172562373,0.12891494534315417,0.824218913777834
22019,Calcasieu Parish,2016,0.15405110332498345,0.12192690721019622,0.36844672508918774,0.5017575235155517,0.3415512693483649
22111,Union Parish,2016,0.04978950745139662,0.04797051916214857,0.7674990000118811,0.9055298352890857,0.0435111662039659
40135,Sequoyah County,2016,0.051175931739349714,0.04639398087631359,0.5075614726679498,0.5370894531531438,0.41005949133876096
1049,DeKalb County,2016,0.0884561834157992,0.0806214032316339,0.43799057029202687,0.4986067915772751,0.41196025500914013
36101,Steuben County,2016,0.06620988404421713,0.06179472447087998,0.6094551101263515,0.6230412747757088,0.30946814223862673
42053,Forest County,2016,0.03815825885953346,0.037633279614526866,0.8853005811398154,0.9327399846982793,0.028555615243118296
