"","combined_FIPS","pct_pop_change","pct_white_change","pct_black_change","pct_nativeAM_change","pct_asian_change","pct_pacIslander_change","pct_other_change","pct_nonWhite_change"
"543","13321",-0.0499298356796886,0.0016525563728258,-0.00185145384697327,-0.00467456082886425,0.00182225268339907,-0.000316871123987144,-0.00206359849939622,0.00921079411316622
"544","15001",-0.070704744357439,-0.0399835218991053,-0.00232088606125848,-0.0197247733586302,-0.117149673819837,-0.0843336097322085,-0.0182099638774115,0.603428379396007
"545","15003",-0.114959442325247,-0.0653538207750519,-0.00304797386687459,-0.0127930532034376,-0.0546826452314937,-0.0755938934521406,-0.0201377640375169,0.528572121908082
"546","15005",-0.420382165605096,0.0256876881080703,0,0,0.0697837194652481,-0.163645271925527,-0.0417162455379016,0.19409253167215
"547","15007",-0.0895379644588045,-0.0207724554576977,9.05739859704564e-05,-0.0133262702585587,-0.0610812462206203,-0.0864927889853973,-0.0270995170397352,0.438135863409775
"548","15009",-0.0256868519062727,-0.023210854801913,-0.00242112525468571,-0.0148635285830048,-0.0828796743711235,-0.0890816334078568,-0.0261062406553316,0.500336968949744
"549","16001",0.382012333657903,-0.0141697513266797,0.00293729017451165,-0.00758903659716198,0.00169211601982035,-0.00148691500030737,-0.0103387476809128,0.0720798401481397
"550","16003",0.0983233873259449,-0.000913246037864246,0.00121734277827223,-0.00299376476690757,-0.00227337311736289,0.00121734277827223,-0.00815598339378874,0.0247166095566224
"551","16005",0.0858975189479821,-0.0101963659055002,-0.00213571773971347,-0.00389892846760378,-0.00194889036607123,-0.00137838700743981,-0.0118442041007382,0.0730013530796337
"552","16007",-0.0802172226532196,-0.0170974109798576,0.00605303465741994,-0.00520052368792722,0.00415683835715684,-0.000424881353589859,0.00222279455875471,0.037677707875944
"553","16009",-0.0293299079426247,-0.0176381840405236,-0.000467294044275668,-0.0102838450690645,0.00857549378104414,0.0014691915513199,-0.00448288754241721,0.0632932347683579
"554","16011",0.0610699549887472,0.0253539178317148,-0.00037914525194565,-0.0155775893623767,0.00162179617450263,-0.000592324913932135,-0.0375139923626761,0.0288207579377114
"555","16013",0.110034709630627,0.0140137611023973,-0.001371713294997,-0.00755800370015012,-0.000108165904156842,0.00170715622290224,-0.0179771959978441,0.00857456204129994
"556","16015",0.0118942731277533,-0.00378390507442183,0.00244282109653337,-0.00183448116262225,-0.00327714691383833,0.00142355124509591,-0.0142713761229772,0.0423849789388828
"557","16017",0.10350067987309,-0.0106683200156693,-0.00138729038798838,-0.0136802413004742,-0.000147723759793917,0.000322367522909733,-0.000774291829454393,0.0633393195566101
"558","16019",0.300615766486074,-0.0303603975294142,-0.00256592647265695,-0.00799806956534048,-0.00234961234004661,-0.000558453341598912,0.0186280808255465,0.0807691543764355
"559","16021",0.116108996193148,-0.0129828701086604,-0.000577891474738004,-0.0107438969536603,-0.00376450881490641,-0.00100180324584252,-0.00378065851986587,0.0786861283440073
"560","16023",-0.122842639593909,0.03732570345303,0.00451486808297299,-0.0177461302249796,-0.00473773265651438,-0.00236886632825719,-0.0193026571410666,-0.0326960738234004
"561","16025",-0.047244094488189,0.00882573046137825,-0.0147637795275591,-0.0146173618793519,-0.0078740157480315,-0.000984251968503937,0.0273475629595887,-0.0046934990564196
"562","16027",0.501088163446591,0.0570055914194471,-0.00101468344372637,-0.00625011771359216,-0.00431179946285389,-0.000995690255015098,-0.0744606205233503,0.00304904853873469
"563","16029",-0.0787018255578093,0.000960935855536915,0.000420625287118142,-0.00282481081835853,-0.00305245103249396,-0.0035158891142664,-0.0131244735857264,0.0413111909608436
"564","16031",0.071539586761748,0.0924120765564871,-0.000454268969960716,-0.0076955051594114,-0.00332829873196424,-0.000889895023924126,-0.094719250516711,-0.0630617928655183
"565","16033",-0.0697674418604651,0.186022286821705,-0.00380329457364341,-0.0106589147286822,-0.00193798449612403,-0.000968992248062015,-0.195736434108527,-0.131855620155039
"566","16035",-0.0642966864165021,-0.00700443434651599,0.000135710642061097,-0.0129971373649018,8.55074826638276e-05,0.00210652559759,-0.000618854937726468,0.0435898002001745
"567","16037",-0.0453923357664234,0.00848447487987158,-0.000456204379562044,-0.00820115942408148,-0.000673460133078687,-0.000456204379562044,-0.00538800809285858,0.00489664817867078
"568","16039",-0.133999071063632,-0.00668436140446793,-0.0101419385090246,-0.000663543770712611,0.00417474210165207,-0.00126077942789755,-0.0128539163308512,0.0615439560870715
"569","16041",0.138096903970614,0.0162164566774301,0.00153143367712601,-0.00436524092691259,-0.00144178422188675,0.000267496661517194,-0.0266554532374422,0.0126777260629066
"570","16043",0.073057081045099,0.0238098961978868,-0.000648311548392878,-0.00584299832302828,-0.00351918617111554,0.000788893685939247,-0.0394021896229271,0.0258178953653886
"571","16045",0.0890468497576737,0.00192918582205703,-0.00213247172859451,-0.00142904045213927,0.000675425160278363,-0.0018199374291064,-0.0209578080229432,0.0455401074788389
"572","16047",0.0407882991141935,0.00597226336511425,-0.00380898700538701,0.0014760564798869,0.00179629185592366,-0.000716273291640698,-0.0296583234959997,0.0439056808190911
"573","16049",0.0292608778263348,-0.00692412994406943,0.000765740158839434,-0.00867430798014704,-0.00180007923159361,-0.000521086335931411,-0.00789074930632018,0.0570133552225138
"574","16051",0.39497528830313,0.00863027619413115,-0.00278503632699696,-0.00411743053802479,-0.0032747527979108,0.000131784772575051,-0.0247879709170007,0.0437759830323229
"575","16053",0.213453106619613,0.0464026767547866,-0.00186450227596896,-0.00196425177410429,6.89217762531854e-05,0.000457006133227575,-0.0593596549677677,-0.0138830680476393
"576","16055",0.336179681775832,-0.0158313416594267,0.000611385999096079,-0.00615304168498077,0.000343556885831897,-0.00121104834701768,-0.00402613092325456,0.06836458111893
"577","16057",0.0847433807409073,-0.0113431941095345,-0.000995156988401558,-0.00601669223975777,-0.00257308019082731,-0.00117918585619566,-0.00455555693819143,0.0646689267553512
"578","16059",-0.025179403248143,-0.010967885301981,5.20302792161031e-05,-0.00451743143616464,-0.000267126705387925,-0.00100717612992572,-0.00770155444849213,0.0597861727874518
"579","16061",-0.000522466039707419,-0.0355870928766002,-0.00313438656806178,0.00577593990630024,0.00261615378690924,-0.000783562502833552,-0.0135812493411138,0.1249754880674
"580","16063",0.281045751633987,0.0389760842608649,-0.00702009198741225,-0.00394108260588186,-0.00410905102781853,-0.000484144274993948,-0.0364602631175927,-0.0128989867551959
