county_fips,pct_avg_dem_gov_change,pct_avg_dem_sen_change
47099,-1.6200000000000003,-1.5333333333333339
47101,-1.8799999999999997,-2.0666666666666664
47103,-2.5399999999999983,-2.5
47105,1.0599999999999987,0.7833333333333332
47111,-0.6800000000000004,-1.6166666666666671
47113,3.2399999999999998,2.5666666666666664
47115,-2.3200000000000003,-1.2000000000000004
47117,-1.0999999999999992,-0.6666666666666666
47119,1.06,0.35000000000000026
47107,-0.039999999999999855,-0.06666666666666643
47109,-1.4799999999999998,-1.0833333333333333
47121,-2.04,-0.8666666666666671
47123,-1.2,-0.6333333333333334
47125,4.159999999999999,2.7166666666666663
47127,-0.4999999999999993,-1.6000000000000003
47129,-5.300000000000001,-1.7333333333333332
47131,-2.5799999999999996,-1.6333333333333335
47133,-3.3200000000000003,-2.4499999999999993
47135,-3.6800000000000006,-2.483333333333334
47137,-0.6399999999999999,-0.4666666666666668
47139,-3.2600000000000007,-2.083333333333334
47141,1.0800000000000005,0.45000000000000046
47143,-0.8200000000000003,-0.16666666666666666
47145,-0.29999999999999927,0.43333333333333296
47147,-0.320000000000001,0.049999999999999524
47149,2.599999999999999,2.85
47151,-2.3600000000000003,-1.25
47153,-1.94,-0.5500000000000002
47155,0.8800000000000001,1.3500000000000003
47157,4.6,4.083333333333332
47159,-2.3999999999999995,-2.9666666666666672
47161,-1.4199999999999995,-2.4333333333333322
47163,0.48000000000000115,0.39999999999999974
47165,1.2199999999999989,1.1833333333333336
47167,0.5000000000000007,0.016666666666666902
47169,-1.319999999999999,-1.6000000000000003
47171,0.14000000000000057,0.11666666666666654
47173,-1.3799999999999997,-0.5333333333333338
47175,-4.26,-1.5333333333333325
47177,-0.11999999999999958,-0.4833333333333343
47179,2.1,1.7999999999999996
47181,-2.5199999999999996,-1.3833333333333329
47183,-1.2,-1.0999999999999996
47185,-1.7199999999999995,-2.083333333333334
47187,2.7,3.8166666666666664
47189,0.9800000000000004,1.1166666666666671
48001,-2.1400000000000006,-1.2333333333333336
48003,-0.22000000000000028,-0.06666666666666643
48005,-2.54,-1.3333333333333333
48007,-1.0200000000000002,-0.06666666666666643
48009,-3.0999999999999996,-1.7999999999999998
48011,-1.2600000000000002,-0.9166666666666666
48013,0.16000000000000014,0.2833333333333338
48015,-0.6200000000000003,-0.31666666666666643
48017,0.4199999999999996,1
48019,0.3,0.7833333333333332
48021,0.7400000000000005,1.8333333333333333
48023,-4.640000000000001,-3.066666666666667
48025,-1.5,-0.31666666666666643
48027,2.5200000000000005,2.5833333333333335
48029,3.5199999999999987,3.7999999999999994
48031,0.9600000000000002,1.6666666666666667
48033,-2.2,-1.9999999999999998
48035,-2.26,-1.0333333333333332
48037,-2.3,-0.6999999999999998
48039,2.2,2.25
48041,2.3,3.583333333333334
48043,2.0799999999999996,3.016666666666667
48045,-3.5799999999999996,-2.6
48047,-1.0200000000000018,0.34999999999999903
48049,-2.08,-1.25
48051,-3,-2.0833333333333326
48053,-1.06,0.3000000000000001
48055,0.8,1.6666666666666667
48057,-0.7399999999999999,-1.3333333333333333
48059,-2.3800000000000003,-1.4500000000000002
48061,2.8200000000000003,2.9666666666666672
48063,-3.2,-1.8
48065,-1.9600000000000002,-1.0833333333333333
48067,-4.360000000000001,-2.916666666666666
48069,-1,-0.683333333333333
48071,-2,-1.0999999999999996
48073,-2.06,-1.4333333333333336
48075,-3.2800000000000002,-1.7333333333333332
48077,-3.2399999999999998,-2.533333333333333
48079,-1.1600000000000001,-0.8500000000000002
48081,-2.4999999999999996,-1.883333333333333
48083,-2.66,-1.566666666666667
48085,4.879999999999999,4.8
48087,-4.4399999999999995,-2.566666666666667
48089,-0.7,-0.4666666666666668
48091,1.2,1.5999999999999996
48093,-3.5,-2.3833333333333333
48095,-1.7000000000000004,-0.5833333333333334
48097,-0.9200000000000003,-0.2833333333333332
48099,0.8200000000000003,1.25
48101,-4.24,-2.35
48103,-0.2799999999999997,-0.2333333333333337
48105,-0.17999999999999972,-0.5166666666666663
