STATEFP,COUNTYFP,NAMELSAD,pct_sub_2013,pct_urban_2013,pct_forest_2013,pct_agri_2013,unique
31,039,Cuming County,0.04195235869393669,0.0004172378491570284,0.011971098115596653,0.8475630588492822,15
53,069,Wahkiakum County,0.060536570289253445,0.00018423014223294205,0.4995024574119301,0.028019950185139173,15
35,011,De Baca County,0.004159762013501066,2.7390359665194536e-05,1.7565556741809537e-05,0.006783282115345568,13
31,109,Lancaster County,0.12138938590102255,0.012194200682688021,0.048711112278941364,0.5642994564936243,15
31,129,Nuckolls County,0.037255517268431626,0.0002860470589655235,0.026505217039714677,0.6042792398631319,14
46,099,Minnehaha County,0.09946004937520975,0.007728219443858542,0.01331388611593354,0.8141423000035012,15
48,327,Menard County,0.008622714917000255,5.1607655495021403e-05,0.00870243719078734,0.006538381845813271,15
06,091,Sierra County,0.01465436416615021,7.295400141863029e-05,0.6342176658475593,0.001993594494212075,16
21,053,Clinton County,0.06056371860758594,0.0013939026907058493,0.5331999201550885,0.35187584792927634,15
39,063,Hancock County,0.09954946184816363,0.005605843256481166,0.06183292646636527,0.8145487553387045,15
48,189,Hale County,0.04693179872834829,0.0010831692036873404,0.00014940264878446073,0.6693684798453405,15
48,011,Armstrong County,0.015503572350701446,2.661818607709159e-05,0.07209003335258715,0.18165238854490165,15
39,003,Allen County,0.16189831133857016,0.011421162631992067,0.08144624785084502,0.7219034018358246,15
13,189,McDuffie County,0.06953872251582176,0.0018046584458798198,0.6193514712598682,0.13964115612970573,15
55,111,Sauk County,0.0658292150261707,0.0022719060727247283,0.36592541911797505,0.48417215581052664,15
05,137,Stone County,0.03871211201385409,0.0002485345864948814,0.7665832707721616,0.1472413515949251,15
41,063,Wallowa County,0.0055642702879963625,1.1467720461963887e-05,0.4687625910608678,0.030244679253372007,15
42,007,Beaver County,0.19601722020878054,0.01593753643955514,0.5916234218004212,0.15850042377490706,15
28,061,Jasper County,0.039201084040862845,0.00034055787893988025,0.5516976092221433,0.09008679097029249,15
29,083,Henry County,0.04273806411326465,0.0008094941420809313,0.17852524971660588,0.6164985914517229,15
08,109,Saguache County,0.005667337949264364,1.775667242589357e-05,0.3702667370064727,0.04686873686814608,15
37,037,Chatham County,0.07209515374107113,0.0011234462547134992,0.6472398366591493,0.16794002012596126,15
49,033,Rich County,0.008723609912559197,3.582328628754968e-05,0.12971835860261036,0.08088993998959845,15
40,001,Adair County,0.04101744252538008,0.000597709562510308,0.591572355360907,0.3255819692754412,14
39,085,Lake County,0.1083894741922388,0.003990898225352673,0.08018987108185067,0.03120785886855232,16
51,775,Salem city,0.7636661677713634,0.09462380918442496,0.11222768631363884,0.027106644810301,13
51,121,Montgomery County,0.12675166172419394,0.005481949113657829,0.6176972064465793,0.22082587201465423,15
47,065,Hamilton County,0.27037447061266473,0.019547491537046248,0.4850238314846025,0.12864474427633898,15
35,035,Otero County,0.006856107477739635,0.00010880712675668451,0.16920892551939803,0.0008317583829467613,15
35,003,Catron County,0.0029390312730277813,1.2034934405846572e-06,0.4662770356652774,1.8754439449110907e-05,15
01,091,Marengo County,0.033169347235846476,0.0005141657254439895,0.4494932956891412,0.16640156838227338,15
56,023,Lincoln County,0.007049689409366907,2.452611972344721e-05,0.22859616564245364,0.03153889265502969,16
29,011,Barton County,0.04201926341517674,0.0005916811723673246,0.11608947663587324,0.7985238253585466,15
48,057,Calhoun County,0.027964469671451803,0.001864544744531123,0.006909684494532048,0.2340129841767754,16
51,735,Poquoson city,0.05622824344313843,0.0008104732632399444,0.015864017644401533,0.0008326173414705439,15
54,075,Pocahontas County,0.035042486866169786,0.00026380191317264414,0.8961070585643937,0.047580272339502364,15
48,077,Clay County,0.02497542566727209,0.0002893843550105034,0.05163612624501395,0.11405041946729008,15
51,095,James City County,0.16065419799036712,0.004587458617785522,0.39794845124757916,0.06306785324789742,15
31,101,Keith County,0.023526030328353126,0.00021165286800594506,0.001626846600826761,0.30999850027035836,15
31,137,Phelps County,0.04555254556829924,0.0005381968668840459,0.0001729688855338212,0.8211521013790571,15
22,019,Calcasieu Parish,0.1321720423141088,0.009804883672405793,0.17190162277764068,0.32894744781796637,15
22,111,Union Parish,0.04788906144087476,0.00029439603521084053,0.510632801782804,0.04250280386315152,15
40,135,Sequoyah County,0.04483579428620364,0.0007794990769602067,0.4597477770652103,0.3906779306391795,15
01,049,DeKalb County,0.08568719067828756,0.0020287487894894212,0.44180356035148316,0.41179405477532477,15
36,101,Steuben County,0.06436639542196293,0.0009149837310101277,0.5915554203690674,0.3065487541297396,15
22,105,Tangipahoa Parish,0.0882059635146675,0.0024354572936490355,0.27027811563542997,0.17385912310361668,15
51,179,Stafford County,0.1635830347305627,0.005714810366561783,0.5892979443556632,0.09320873078106544,15
26,109,Menominee County,0.03533016699862111,0.0005172776446209097,0.1986561687696219,0.0873150122178279,15
18,073,Jasper County,0.06119139316915436,0.0025217355780122485,0.08947828422943462,0.8153704549646746,15
13,025,Brantley County,0.049937528555044804,0.00019036696534855026,0.29397088395540594,0.057554538193052306,15
13,171,Lamar County,0.07537894229007176,0.001877414553328671,0.5270616966292555,0.2438638089076215,15
18,151,Steuben County,0.09293371437438576,0.00406041483473853,0.0567154175071984,0.580628545319747,15
48,361,Orange County,0.17281952164570138,0.009239124961202267,0.13560116571736205,0.13476981843118907,15
39,047,Fayette County,0.058746540127688714,0.002573240011406266,0.048842895757312904,0.8827980527386138,15
25,015,Hampshire County,0.10428345633691509,0.003987737881279237,0.666063120594496,0.08539762660446382,15
