"","combined_FIPS","net_dev"
"1",1001,0.00710185909142386
"2",1003,0.0134035174023358
"3",1005,0.000606764374619699
"4",1007,0.00159586117018179
"5",1009,0.00391609611484506
"6",1011,0.000313220129457708
"7",1013,0.000983839510127642
"8",1015,0.00823380640350838
"9",1017,0.00187166532501504
"10",1019,0.00156329443958932
"11",1021,0.0045036855433051
"12",1023,0.000273053921297624
"13",1025,0.000558155341135218
"14",1027,0.000509001019996971
"15",1029,0.000770530769582396
"16",1031,0.00492712071625467
"17",1033,0.00537097121025405
"18",1035,0.000822179544687329
"19",1037,0.00052294677117485
"20",1039,0.000795321045705018
"21",1041,0.00044389454801181
"22",1043,0.00517709859666161
"23",1045,0.00257585368049405
"24",1047,0.00100093678005509
"25",1049,0.00298381796377011
"26",1051,0.0113888546370472
"27",1053,0.00151080522879023
"28",1055,0.0131084308119746
"29",1057,0.000203055627149749
"30",1059,0.00240223790947144
"31",1061,0.00051126486845654
"32",1063,0.000301607994333909
"33",1065,0.000401707902837403
"34",1067,0.000998523278968176
"35",1069,0.00768135589583209
"36",1071,0.00228010045815111
"37",1073,0.0256868318106208
"38",1075,0.000159795647611004
"39",1077,0.00333007548386496
"40",1079,0.00116453109769692
"41",1081,0.0244604547663495
"42",1083,0.0149518741876021
"43",1085,0.000407056890191722
"44",1087,0.000668543248761456
"45",1089,0.0357671357267515
"46",1091,0.000603699508154198
"47",1093,0.000950638706475132
"48",1095,0.00836776909105276
"49",1097,0.013542702248129
"50",1099,0.00094012048618964
"51",1101,0.0154636676712723
"52",1103,0.00773059590666374
"53",1105,0.000418485563639388
"54",1107,0.000367973842384954
"55",1109,0.00187521454305097
"56",1111,0.00131274528650802
"57",1113,0.00754386496015137
"58",1115,0.0135820865269842
"59",1117,0.0331423887593607
"60",1119,0.000417741010521794
"61",1121,0.0055098690081256
"62",1123,0.00207948786402391
"63",1125,0.00759445042366913
"64",1127,0.00358055397911167
"65",1129,0.00104468402252185
"66",1131,0.000291009574370425
"67",1133,0.00137958172056915
"68",4001,0.000106476900600887
"69",4003,0.000846719105604025
"70",4005,0.000497444948556714
"71",4007,0.000275597961683149
"72",4009,0.000304487007782321
"73",4011,0.000611760087214922
"74",4012,0.00034914642624752
"75",4013,0.02575952029319
"76",4015,0.000584640944079303
"77",4017,0.000304928287771643
"78",4019,0.00427820785049472
"79",4021,0.00655486820713559
"80",4023,0.000663953444054833
"81",4025,0.00123983273416797
"82",4027,0.00315709334054399
"83",5001,0.0008159240086286
"84",5003,0.000305773924075624
"85",5005,0.00136507463795582
"86",5007,0.0263717196624358
"87",5009,0.000755964668981327
"88",5011,0.000490771502052317
"89",5013,0.000462579836600502
"90",5015,0.00049936702051076
"91",5017,-0.000327435278586072
"92",5019,0.000580456724802107
"93",5021,0.000356849763288959
"94",5023,0.00596269457438673
"95",5025,0.000571289463573009
"96",5027,0.0020831267548499
"97",5029,0.00804009729044138
"98",5031,0.0103130379684954
